Action,PlayerScore,OpponentScore,AccruedScore,NumDiceAvailable,Dice1,Dice2,Dice3,Dice4,Dice5,Dice6,Outcome1,Outcome2,Outcome3,Outcome4,Outcome5,Outcome6
0,6850,7850,8900,5,0,0,0,0,0,0,1,0,0,0,0,0
0,8650,50,3750,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3800,700,8350,5,0,0,0,0,0,0,1,0,0,0,0,0
0,5400,1900,2100,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1450,300,400,4,4,2,2,6,0,0,0,0,0,1,0,0
0,3850,3250,9750,6,0,0,0,0,0,0,1,0,0,0,0,0
0,9200,6350,4200,4,0,0,0,0,0,0,1,0,0,0,0,0
0,7400,5200,100,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8150,1150,1250,5,0,0,0,0,0,0,1,0,0,0,0,0
1,9100,1850,0,3,3,5,3,0,0,0,0,1,0,0,0,0
0,2750,2850,750,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6650,2650,950,3,4,5,4,0,0,0,0,1,0,0,0,0
1,4050,1150,800,4,1,3,1,3,0,0,1,0,1,0,0,0
1,550,2800,1650,2,2,6,0,0,0,0,0,1,0,0,0,0
1,800,7850,0,3,2,3,5,0,0,0,0,0,1,0,0,0
1,7950,7800,350,2,6,1,0,0,0,0,0,1,0,0,0,0
0,2050,400,300,5,0,0,0,0,0,0,1,0,0,0,0,0
0,6650,2250,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,7300,1200,200,3,0,0,0,0,0,0,1,0,0,0,0,0
1,5300,3600,0,2,6,6,0,0,0,0,1,1,0,0,0,0
1,750,8250,1800,4,4,1,4,5,0,0,0,1,0,0,0,0
0,3800,9900,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,4850,9000,600,5,0,0,0,0,0,0,1,0,0,0,0,0
0,9750,8450,600,5,0,0,0,0,0,0,1,0,0,0,0,0
0,3300,5800,500,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10700,7350,4800,6,6,4,4,5,5,4,0,1,1,1,1,1
1,1150,800,0,6,5,4,6,4,4,2,1,1,0,1,1,0
0,5350,1400,0,4,0,0,0,0,0,0,1,0,0,0,0,0
0,9900,7350,1700,6,0,0,0,0,0,0,1,0,0,0,0,0
1,4300,8150,900,5,6,1,2,3,2,0,0,1,0,0,0,0
0,6400,1500,0,5,0,0,0,0,0,0,1,0,0,0,0,0
1,7600,2750,0,3,6,5,6,0,0,0,0,1,0,0,0,0
0,1350,5300,2650,6,0,0,0,0,0,0,1,0,0,0,0,0
1,3900,4550,0,4,4,4,4,5,0,0,1,1,1,1,0,0
1,10950,6300,0,3,6,6,3,0,0,0,1,1,0,0,0,0
0,8200,6500,300,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2400,5050,50,3,2,2,5,0,0,0,0,0,1,0,0,0
1,7100,800,950,5,2,2,5,5,4,0,0,0,1,1,0,0
1,300,1200,4700,2,2,1,0,0,0,0,0,1,0,0,0,0
0,8650,10150,750,3,0,0,0,0,0,0,1,0,0,0,0,0
0,2500,4900,0,6,0,0,0,0,0,0,1,0,0,0,0,0
0,8400,3100,200,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4500,10700,0,3,5,3,4,0,0,0,1,0,0,0,0,0
0,3150,8600,250,2,0,0,0,0,0,0,1,0,0,0,0,0
1,5750,2850,0,4,4,2,4,1,0,0,0,0,0,1,0,0
1,900,8750,150,3,4,2,4,0,0,0,0,1,0,0,0,0
1,6000,5750,0,4,6,6,2,2,0,0,1,1,0,0,0,0
1,8800,6750,9550,3,4,6,3,0,0,0,0,1,0,0,0,0
1,3950,2900,950,3,5,2,1,0,0,0,0,0,1,0,0,0
1,9500,1750,0,5,3,1,2,2,6,0,0,1,0,0,0,0
0,10500,8100,300,2,0,0,0,0,0,0,1,0,0,0,0,0
0,6200,7800,500,2,0,0,0,0,0,0,1,0,0,0,0,0
0,5500,4950,1150,4,0,0,0,0,0,0,1,0,0,0,0,0
0,550,4850,500,2,0,0,0,0,0,0,1,0,0,0,0,0
0,9050,7900,0,4,0,0,0,0,0,0,1,0,0,0,0,0
0,5800,10300,100,3,0,0,0,0,0,0,1,0,0,0,0,0
1,6150,7500,2800,5,3,1,6,3,2,0,0,1,0,0,0,0
1,2400,4350,700,2,5,2,0,0,0,0,1,0,0,0,0,0
0,8100,5500,50,2,0,0,0,0,0,0,1,0,0,0,0,0
1,4650,6800,1600,6,5,1,6,2,5,6,0,1,0,0,0,0
0,8200,9000,700,3,0,0,0,0,0,0,1,0,0,0,0,0
0,6600,8400,500,2,0,0,0,0,0,0,1,0,0,0,0,0
0,3650,9600,1350,4,0,0,0,0,0,0,1,0,0,0,0,0
0,200,5350,0,4,0,0,0,0,0,0,1,0,0,0,0,0
0,2500,2600,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,1900,2000,0,5,1,1,2,2,5,0,1,1,0,0,0,0
1,4000,9450,4850,6,1,4,3,3,6,3,1,0,1,1,0,1
1,6850,8150,900,5,4,2,1,6,1,0,0,0,1,0,1,0
1,4200,4300,0,3,6,4,6,0,0,0,1,0,1,0,0,0
0,4800,4700,900,2,0,0,0,0,0,0,1,0,0,0,0,0
1,2450,6400,500,2,1,3,0,0,0,0,1,0,0,0,0,0
1,6950,1750,600,3,6,2,1,0,0,0,0,0,1,0,0,0
0,5000,7100,3750,5,0,0,0,0,0,0,1,0,0,0,0,0
0,500,2700,750,2,0,0,0,0,0,0,1,0,0,0,0,0
1,7400,5800,350,6,5,2,6,3,4,2,1,0,0,0,0,0
0,10700,1300,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,2750,450,0,2,5,6,0,0,0,0,1,0,0,0,0,0
0,2000,3450,9100,6,0,0,0,0,0,0,1,0,0,0,0,0
1,8400,2750,750,3,2,5,4,0,0,0,0,1,0,0,0,0
0,50,2700,1050,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1800,9550,800,3,4,4,6,0,0,0,0,0,1,0,0,0
1,4600,6700,7100,4,6,3,6,3,0,0,1,0,1,0,0,0
1,2200,5750,0,3,2,1,3,0,0,0,0,1,0,0,0,0
0,5650,8250,1200,3,0,0,0,0,0,0,1,0,0,0,0,0
1,9100,2100,200,5,2,1,2,6,3,0,0,1,0,0,0,0
0,5350,6500,1300,6,0,0,0,0,0,0,1,0,0,0,0,0
1,650,5250,1800,2,1,5,0,0,0,0,1,0,0,0,0,0
1,7600,3000,100,4,4,1,6,5,0,0,0,1,0,0,0,0
0,2750,2000,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,10400,1050,8600,5,4,3,5,4,4,0,1,0,1,1,1,0
0,4350,4900,7450,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2350,6750,850,3,4,5,6,0,0,0,0,1,0,0,0,0
0,8750,1300,1450,3,0,0,0,0,0,0,1,0,0,0,0,0
0,8450,4600,1700,5,0,0,0,0,0,0,1,0,0,0,0,0
0,7900,8750,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,8850,2700,1250,4,4,5,5,3,0,0,0,1,1,0,0,0
0,4200,9900,150,3,0,0,0,0,0,0,1,0,0,0,0,0
1,1000,8800,0,6,4,6,4,6,6,4,1,1,1,1,1,1
0,2950,250,8400,2,0,0,0,0,0,0,0,0,0,0,0,0
1,6500,8050,1250,6,3,3,3,3,5,4,1,1,1,1,0,0
1,4300,3850,0,2,5,2,0,0,0,0,1,0,0,0,0,0
0,8600,9900,4750,4,0,0,0,0,0,0,1,0,0,0,0,0
1,9300,2750,350,4,1,2,2,2,0,0,1,0,0,0,0,0
1,6250,7350,1400,3,1,6,6,0,0,0,1,0,0,0,0,0
0,8400,1650,150,4,0,0,0,0,0,0,1,0,0,0,0,0
1,5500,7800,1950,4,1,5,5,3,0,0,1,0,0,0,0,0
0,8450,5250,450,6,0,0,0,0,0,0,1,0,0,0,0,0
0,7850,6750,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1,4350,4300,1450,2,6,4,0,0,0,0,1,0,0,0,0,0
0,5600,3100,1300,3,0,0,0,0,0,0,1,0,0,0,0,0
1,450,1500,0,4,6,4,3,4,0,0,1,0,0,0,0,0
0,3750,1250,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,6650,8400,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6550,8100,1250,3,2,1,2,0,0,0,0,1,0,0,0,0
1,3300,9800,250,5,1,4,3,1,5,0,1,0,0,1,0,0
1,600,4000,1450,3,1,3,4,0,0,0,1,0,0,0,0,0
1,4450,8850,0,5,5,4,3,6,4,0,1,0,0,0,0,0
1,1300,4400,300,6,3,3,2,6,1,2,0,0,0,0,1,0
1,2750,4300,0,3,4,6,6,0,0,0,0,1,1,0,0,0
1,8600,7750,2300,4,6,6,3,2,0,0,1,1,0,0,0,0
1,5500,2550,700,6,4,5,2,1,5,1,0,0,0,1,0,1
0,4250,1200,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,7850,3300,0,4,3,1,2,2,0,0,0,1,0,0,0,0
1,4650,4600,250,5,2,3,5,1,3,0,0,0,0,1,0,0
0,4250,9450,0,3,0,0,0,0,0,0,1,0,0,0,0,0
0,150,800,1150,4,0,0,0,0,0,0,1,0,0,0,0,0
1,7450,2550,500,6,6,2,2,5,5,5,0,0,0,1,1,1
0,7900,9150,300,4,0,0,0,0,0,0,1,0,0,0,0,0
1,4650,4300,750,2,1,3,0,0,0,0,1,0,0,0,0,0
0,10350,2900,1350,6,0,0,0,0,0,0,1,0,0,0,0,0
1,3650,8400,300,6,5,4,5,1,4,2,0,0,0,1,0,0
0,2450,9300,950,4,0,0,0,0,0,0,1,0,0,0,0,0
0,5150,6200,300,5,0,0,0,0,0,0,1,0,0,0,0,0
0,5300,8800,50,2,0,0,0,0,0,0,1,0,0,0,0,0
1,0,7300,1150,6,6,6,1,1,2,2,1,1,1,1,1,1
1,7050,2600,150,4,1,5,1,6,0,0,1,0,1,0,0,0
0,10050,7900,2800,2,0,0,0,0,0,0,0,0,0,0,0,0
1,50,9250,1150,2,3,5,0,0,0,0,0,1,0,0,0,0
1,8400,2900,1050,6,5,3,5,5,4,4,1,0,1,1,0,0
0,10500,3650,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1,1300,8800,600,5,1,3,2,4,3,0,1,0,0,0,0,0
1,1550,6000,7800,5,4,1,6,6,6,0,0,1,1,1,1,0
0,5100,7300,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,3000,7300,300,4,0,0,0,0,0,0,1,0,0,0,0,0
1,2600,5900,0,6,3,1,2,3,2,5,0,1,0,0,0,0
1,5300,4650,500,2,4,5,0,0,0,0,0,1,0,0,0,0
0,9000,4400,600,4,0,0,0,0,0,0,1,0,0,0,0,0
1,3800,1400,400,6,4,1,5,3,5,1,0,1,0,0,0,1
0,3150,1650,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1600,5400,1000,2,3,5,0,0,0,0,0,1,0,0,0,0
1,50,7450,2550,4,1,2,5,5,0,0,1,0,0,0,0,0
1,3200,2200,2550,2,2,2,0,0,0,0,1,1,0,0,0,0
1,6100,3000,1500,5,1,2,4,5,1,0,1,0,0,0,1,0
0,5900,7450,850,5,0,0,0,0,0,0,1,0,0,0,0,0
1,8050,6050,0,5,2,1,6,2,3,0,0,1,0,0,0,0
1,4750,8900,4850,2,5,3,0,0,0,0,1,0,0,0,0,0
0,6400,0,750,6,0,0,0,0,0,0,1,0,0,0,0,0
0,6100,8650,7650,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7400,4650,0,2,1,1,0,0,0,0,1,1,0,0,0,0
0,7450,5000,500,4,0,0,0,0,0,0,1,0,0,0,0,0
1,2550,2450,650,2,5,5,0,0,0,0,1,1,0,0,0,0
1,10150,5800,100,6,1,4,2,6,4,4,1,1,0,0,1,1
0,4000,6950,1150,5,0,0,0,0,0,0,1,0,0,0,0,0
0,7100,3800,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7350,9850,2000,3,2,1,2,0,0,0,0,1,0,0,0,0
1,2450,8550,800,5,4,2,2,1,1,0,0,0,0,1,1,0
1,7150,9950,750,6,5,5,5,3,6,3,1,1,1,0,0,0
0,7750,9250,1900,2,0,0,0,0,0,0,0,0,0,0,0,0
0,5500,5500,600,5,0,0,0,0,0,0,1,0,0,0,0,0
0,9150,3900,450,5,0,0,0,0,0,0,1,0,0,0,0,0
1,9650,1400,800,4,2,1,6,4,0,0,0,1,0,0,0,0
0,7000,6800,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,1450,6500,400,2,1,2,0,0,0,0,1,0,0,0,0,0
0,3150,5800,0,6,0,0,0,0,0,0,1,0,0,0,0,0
